title,artist,tempo,energy,danceability,loudness,valence
"Hey, Soul Sister",Train,97,89,67,-4,80
Love The Way You Lie,Eminem,87,93,75,-5,64
TiK ToK,Kesha,120,84,76,-3,71
Bad Romance,Lady Gaga,119,92,70,-4,71
Just the Way You Are,Bruno Mars,109,84,64,-5,43
Baby,Justin Bieber,65,86,73,-5,54
Dynamite,Taio Cruz,120,78,75,-4,82
Secrets,OneRepublic,148,76,52,-6,38
Empire State of Mind (Part II) Broken Down,Alicia Keys,93,37,48,-8,14
Only Girl (In The World),Rihanna,126,72,79,-4,61
Club Can't Handle Me (feat. David Guetta),Flo Rida,128,87,62,-4,47
Marry You,Bruno Mars,145,83,62,-5,48
Cooler Than Me - Single Mix,Mike Posner,130,82,77,-5,63
Telephone,Lady Gaga,122,83,83,-6,71
Like A G6,Far East Movement,125,84,44,-8,78
OMG (feat. will.i.am),Usher,130,75,78,-6,33
Eenie Meenie,Sean Kingston,121,61,72,-4,83
The Time (Dirty Bit),The Black Eyed Peas,128,81,82,-8,44
Alejandro,Lady Gaga,99,80,63,-7,37
Your Love Is My Drug,Kesha,120,61,83,-4,76
Meet Me Halfway,The Black Eyed Peas,130,63,80,-7,40
Whataya Want from Me,Adam Lambert,186,68,44,-5,45
Take It Off,Kesha,125,68,73,-5,74
Misery,Maroon 5,103,81,70,-5,73
All The Right Moves,OneRepublic,146,95,53,-4,65
Animal,Neon Trees,148,83,48,-6,74
Naturally,Selena Gomez & The Scene,133,90,61,-5,88
I Like It,Enrique Iglesias,129,94,65,-3,73
Teenage Dream,Katy Perry,120,80,72,-5,59
California Gurls,Katy Perry,125,75,79,-4,40
3,Britney Spears,135,71,70,-2,79
My First Kiss - feat. Ke$ha,3OH!3,138,89,68,-4,83
Blah Blah Blah (feat. 3OH!3),Kesha,120,84,75,-3,52
Imma Be,The Black Eyed Peas,92,52,60,-7,41
Try Sleeping with a Broken Heart,Alicia Keys,111,82,50,-5,55
Sexy Bitch (feat. Akon),David Guetta,130,63,81,-5,80
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,164,41,29,-5,7
If I Had You,Adam Lambert,131,91,65,-4,79
Rock That Body,The Black Eyed Peas,125,91,72,-6,84
Dog Days Are Over,Florence + The Machine,150,81,50,-5,26
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,150,85,51,-4,72
Doesn't Mean Anything,Alicia Keys,104,41,71,-7,10
Hard,Rihanna,182,75,31,-4,16
Loca,Shakira,112,87,80,-4,85
You Lost Me,Christina Aguilera,43,39,23,-6,7
Not Myself Tonight,Christina Aguilera,120,81,76,-5,54
Written in the Stars (feat. Eric Turner),Tinie Tempah,91,95,64,-4,57
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,120,86,66,-3,65
Castle Walls (feat. Christina Aguilera),T.I.,80,86,45,-5,58
Break Your Heart,Taio Cruz,122,90,67,-5,63
Hello,Martin Solveig,128,98,67,-3,45
A Thousand Years,Christina Perri,139,41,42,-7,16
Someone Like You,Adele,135,33,56,-8,28
Give Me Everything,Pitbull,129,94,67,-3,53
Rolling in the Deep,Adele,105,76,73,-5,52
Run the World (Girls),Beyoncé,127,90,73,-4,76
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,128,76,72,-4,62
Love On Top,Beyoncé,94,75,65,-5,65
Grenade,Bruno Mars,110,56,71,-7,23
Tonight Tonight,Hot Chelle Rae,100,78,69,-5,81
What the Hell,Avril Lavigne,150,93,58,-4,88
Born This Way,Lady Gaga,124,83,59,-5,49
Monster,Kanye West,125,69,63,-6,10
Best Thing I Never Had,Beyoncé,99,65,55,-4,30
Party Rock Anthem,LMFAO,130,74,75,-4,35
We R Who We R,Kesha,120,82,74,-5,65
Price Tag,Jessie J,175,83,64,-4,68
Good Life,OneRepublic,95,69,63,-8,65
Just Can’t Get Enough,The Black Eyed Peas,94,63,66,-9,26
On The Floor,Jennifer Lopez,130,78,73,-5,57
What's My Name?,Rihanna,100,79,69,-3,58
Yeah 3x,Chris Brown,130,88,71,-3,70
Without You (feat. Usher),David Guetta,128,61,61,-4,40
Sexy And I Know It,LMFAO,130,86,71,-4,80
The Edge Of Glory,Lady Gaga,128,77,58,-6,36
E.T.,Katy Perry,152,87,62,-5,76
Till the World Ends,Britney Spears,132,71,69,-6,45
I Wanna Go,Britney Spears,130,55,70,-7,79
Blow,Kesha,120,73,75,-4,81
You And I,Lady Gaga,127,70,52,-5,52
Judas,Lady Gaga,131,93,66,-4,53
Tonight (I'm Fuckin' You),Enrique Iglesias,126,89,65,-4,32
Please Don't Go,Mike Posner,120,88,70,-4,66
We Found Love,Rihanna,128,77,73,-4,60
Marry The Night,Lady Gaga,131,88,61,-4,38
1+1,Beyoncé,63,38,30,-7,26
Hold It Against Me,Britney Spears,133,72,65,-5,39
I'm Into You,Jennifer Lopez,84,75,59,-4,70
Papi,Jennifer Lopez,120,81,71,-5,89
Cheers (Drink To That),Rihanna,80,91,58,-4,73
S&M Remix,Rihanna,128,81,82,-3,89
Jar of Hearts,Christina Perri,75,35,35,-6,9
Turning Page,Sleeping At Last,125,38,30,-8,19
Super Bass,Nicki Minaj,127,74,77,-7,59
Raise Your Glass,P!nk,122,64,68,-7,56
Invading My Mind,Jennifer Lopez,129,88,73,-4,69
Moment 4 Life - Album Version (Edited),Nicki Minaj,130,88,50,-4,37
Last Friday Night (T.G.I.F.),Katy Perry,126,81,65,-4,72
Firework,Katy Perry,124,83,64,-5,65
Muny - Album Version (Edited),Nicki Minaj,98,72,80,-5,53
Titanium (feat. Sia),David Guetta,126,79,60,-4,30
Locked Out of Heaven,Bruno Mars,144,70,73,-4,87
Paradise,Coldplay,140,59,45,-7,20
Payphone,Maroon 5,110,75,74,-5,55
What Makes You Beautiful,One Direction,125,79,73,-2,89
I Knew You Were Trouble.,Taylor Swift,77,47,62,-7,68
Call Me Maybe,Carly Rae Jepsen,120,58,78,-7,66
Love You Like A Love Song,Selena Gomez & The Scene,117,68,86,-4,92
Set Fire to the Rain,Adele,108,68,61,-4,47
We Are Never Ever Getting Back Together,Taylor Swift,86,68,63,-6,75
Stronger (What Doesn't Kill You),Kelly Clarkson,116,94,56,-4,68
Try,P!nk,104,63,67,-7,55
Starships,Nicki Minaj,125,72,75,-2,75
One More Night,Maroon 5,93,82,72,-3,62
Good Time,Owl City,126,87,56,-4,68
Glad You Came,The Wanted,127,85,72,-4,45
Beauty And A Beat,Justin Bieber,128,84,60,-5,53
International Love,Pitbull,120,86,67,-3,65
Some Nights,fun.,108,74,67,-7,39
Boyfriend,Justin Bieber,97,55,72,-6,33
Part Of Me,Katy Perry,130,92,68,-5,77
Domino,Jessie J,127,55,76,-5,78
Where Have You Been,Rihanna,128,85,72,-6,44
Wide Awake,Katy Perry,160,68,51,-5,57
The One That Got Away,Katy Perry,134,80,69,-4,88
Dance Again,Jennifer Lopez,128,86,79,-5,71
Turn Up the Music,Chris Brown,130,84,59,-6,64
Lights - Single Version,Ellie Goulding,120,80,68,-6,78
We Are Young (feat. Janelle Monáe),fun.,184,64,38,-6,74
Diamonds,Rihanna,92,71,56,-5,39
Don't Stop the Party (feat. TJR),Pitbull,127,96,72,-4,95
You Da One,Rihanna,127,72,70,-5,86
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,90,80,65,-3,80
It Will Rain,Bruno Mars,150,84,58,-7,48
Blow Me (One Last Kiss),P!nk,114,92,60,-3,75
Underneath the Tree,Kelly Clarkson,160,81,51,-5,69
Wake Me Up,Avicii,124,78,53,-6,64
Story of My Life,One Direction,121,66,60,-6,29
Just Give Me a Reason (feat. Nate Ruess),P!nk,95,55,78,-7,44
Hall of Fame,The Script,85,87,42,-4,63
Roar,Katy Perry,180,77,55,-5,46
We Can't Stop,Miley Cyrus,80,62,61,-6,48
